"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","key_press","trial_info","stage","correct_response","valence","i_block","negative_tone","positive_tone","positive_key","frequency","correct","tone","distance","i_generalization_trial","valence_match","responses"
"[{""page_index"":0,""viewing_time"":4053},{""page_index"":1,""viewing_time"":1434},{""page_index"":2,""viewing_time"":960},{""page_index"":3,""viewing_time"":3533},{""page_index"":4,""viewing_time"":686},{""page_index"":5,""viewing_time"":1244},{""page_index"":6,""viewing_time"":114881},{""page_index"":7,""viewing_time"":2100},{""page_index"":8,""viewing_time"":1915}]","130809","instructions","0","130810","0.0-0.0","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","1","132818","0.0-1.0-0.0","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","1947","audio-keyboard-response","2","134809","0.0-1.0-1.0","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/300","80","","acquisition","q","positive","0","700","300","q","300","","","","","",""
"","null","html-keyboard-response","4","137435","0.0-1.0-0.1","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","null","audio-keyboard-response","5","139939","0.0-1.0-1.1","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/300","null","","acquisition","","positive","0","700","300","q","300","true","","","","",""
"","null","html-keyboard-response","6","141050","0.0-1.0-2.1","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> + $0.04</font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","7","142563","0.0-1.0-0.2","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","1429","audio-keyboard-response","8","143993","0.0-1.0-1.2","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/500","80","","acquisition","","neutral","0","700","300","q","500","","","","","",""
"","null","html-keyboard-response","9","145101","0.0-1.0-2.2","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%""></font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","10","146607","0.0-1.0-0.3","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","704","audio-keyboard-response","11","147317","0.0-1.0-1.3","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/700","81","","acquisition","p","negative","0","700","300","q","700","","","","","",""
"","null","html-keyboard-response","12","148426","0.0-1.0-2.3","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> - $0.04</font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","13","149936","0.0-1.0-0.4","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","null","audio-keyboard-response","14","152441","0.0-1.0-1.4","1","1","2023-10-30 23:52:03","ec53d80472dcc330b6ccf60011d5c0d4","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/700","null","","acquisition","","negative","0","700","300","q","700","false","","","","",""
