"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","key_press","trial_info","stage","correct_response","valence","i_block","negative_tone","positive_tone","positive_key","frequency","correct","distance","i_generalization_trial","tone","valence_match","responses"
"","null","html-keyboard-response","50","103964","0.0-4.0-2.5","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","51","104472","0.0-4.0-0.6","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","[object Object]","","","","","","","","","","","","","",""
"","null","audio-keyboard-response","52","106980","0.0-4.0-1.6","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/320","null","","generalization","space","negative","0","300","700","q","","false","20","6","320","",""
"","null","html-keyboard-response","53","107992","0.0-4.0-2.6","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<p style='font-weight:bold; color: red; font-size=100%'> - $0.40<br>RESPOND FASTER!</p>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","54","108498","0.0-4.0-0.7","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","[object Object]","","","","","","","","","","","","","",""
"","501","audio-keyboard-response","55","108999","0.0-4.0-1.7","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/700","80","","generalization","q","positive","0","300","700","q","","false","0","7","","false",""
"","null","html-keyboard-response","56","110002","0.0-4.0-2.7","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","57","110513","0.0-4.0-0.8","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","[object Object]","","","","","","","","","","","","","",""
"","91","audio-keyboard-response","58","110613","0.0-4.0-1.8","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/720","81","","generalization","space","positive","0","300","700","q","","false","20","8","720","true",""
"","null","html-keyboard-response","59","111623","0.0-4.0-2.8","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","","","","","","","","","","","","","","",""
